unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
25E9DA80-6A5E-555E-E063-4704A8C066F2,550000,2/2/2024,RG1 7YG,S,N,F,,50,PROSPECT STREET,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA80-6A5E-555E-E063-4704A8C066F2/current
1C3E72FD-D32C-F410-E063-4804A8C0DFA6,450000,1/25/2024,RG1 7YN,T,N,F,,18,LORNE STREET,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FD-D32C-F410-E063-4804A8C0DFA6/current
237B17FD-A2DA-22AC-E063-4804A8C0EA3A,475000,8/21/2024,RG1 7YP,T,N,F,,3,ARGYLE STREET,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FD-A2DA-22AC-E063-4804A8C0EA3A/current
1A0C5C63-0C62-7CBE-E063-4804A8C06C96,450000,1/23/2024,RG1 7YP,S,N,F,,17,ARGYLE STREET,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1A0C5C63-0C62-7CBE-E063-4804A8C06C96/current
237B17FD-A242-22AC-E063-4804A8C0EA3A,232500,4/29/2024,RG1 7YQ,T,N,F,,5,PROSPECT STREET,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FD-A242-22AC-E063-4804A8C0EA3A/current
1A0C5C63-E6BE-7CBE-E063-4804A8C06C96,302500,1/31/2024,RG1 7YR,T,N,F,,3,ORMSBY STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/1A0C5C63-E6BE-7CBE-E063-4804A8C06C96/current
2D4D7608-A1D2-BDF9-E063-4804A8C0672F,327000,12/23/2024,RG1 7YR,T,N,F,,26,ORMSBY STREET,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7608-A1D2-BDF9-E063-4804A8C0672F/current
2859C1AC-D971-52B4-E063-4804A8C05948,525000,9/5/2024,RG1 7YT,F,N,F,,7,BRUNSWICK HILL,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-D971-52B4-E063-4804A8C05948/current
2F7F2B42-ABCE-E08F-E063-4804A8C05A49,495000,10/25/2024,RG1 7YU,S,N,F,,35,BRUNSWICK HILL,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B42-ABCE-E08F-E063-4804A8C05A49/current
2F7F2B42-AE56-E08F-E063-4804A8C05A49,268000,1/5/2024,RG1 7YU,F,N,L,FLAT 4,39,BRUNSWICK HILL,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B42-AE56-E08F-E063-4804A8C05A49/current
