Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households,Built up area,Nearby Sectors
RG2 7,51.4367,-0.958778,472472,171370,SU724713,282,229,11609,4095,Reading,"RG2 0, RG1 5, RG2 8, RG1 9, RG1 3, RG1 4, RG6 5, RG6 6, RG1 2, RG6 4"
RG2 8,51.4234,-0.960579,472368,169889,SU723698,286,234,12187,4701,Reading,"RG2 7, RG1 9, RG2 0, RG1 5, RG2 6, RG1 3, RG1 4, RG6 4, RG6 5, RG1 2"
RG2 9,51.4007,-0.925523,474842,167400,SU748673,391,350,8145,3063,Shinfield,"RG6 2, RG6 7, RG6 4, RG6 3, RG6 5, RG2 8, RG7 1, RG5 3, RG6 1, RG6 6"
RG3 1,51.4594,-1.00012,469564,173854,SU695738,166,0,,,Reading,"RG30 1, RG30 2, RG30 9, RG3 2, RG1 8, RG30 6, RG1 7, RG4 7, RG30 4, RG1 6"
RG3 2,51.453,-1.0032,469360,173140,SU693731,253,0,,,Reading,"RG30 2, RG3 1, RG30 1, RG30 9, RG30 4, RG3 4, RG1 7, RG1 6, RG30 3, RG30 6"
RG3 3,51.434,-1.0182,468346,171012,SU683710,242,0,,,Reading,"RG30 3, RG30 4, RG31 7, RG3 4, RG30 6, RG3 2, RG2 6, RG30 2, RG3 7, RG31 4"
RG3 4,51.4537,-1.02687,467714,173195,SU677731,260,0,,,Reading,"RG30 4, RG30 6, RG31 7, RG3 5, RG31 5, RG31 4, RG3 6, RG3 2, RG30 2, RG31 6"
RG3 5,51.4519,-1.04656,466348,172977,SU663729,371,0,,,Reading,"RG31 4, RG31 5, RG3 7, RG31 7, RG3 4, RG31 6, RG3 6, RG30 4, RG30 6, RG3 2"
RG3 6,51.4673,-1.03723,466974,174698,SU669746,359,0,,,Reading,"RG31 6, RG31 5, RG30 6, RG3 4, RG3 5, RG31 7, RG31 4, RG30 4, RG3 7, RG3 1"
RG3 7,51.4404,-1.05254,465949,171693,SU659716,74,0,,,Reading,"RG31 4, RG3 5, RG31 7, RG31 5, RG3 4, RG3 3, RG30 3, RG31 6, RG3 6, RG30 4"
RG4 0,51.4741,-0.944502,473404,175543,SU734755,324,0,,,Caversham,"RG4 6, RG6 9, RG4 8, RG4 5, RG6 6, RG6 1, RG1 3, RG1 5, RG1 4, RG4 7"
