URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL
110114,Reading,870,6005,8706005,St Edward's Prep,64 Tilehurst Road,Reading,Berkshire,Reading,RG30 2JH,Open,,,Independent school,Other independent school,1,0,0,2,11,Mixed,None,Not applicable
110165,Reading,870,6008,8706008,The Abbey School Reading,17 Kendrick Road,,,Reading,RG1 5DZ,Open,,,Independent school,Other independent school,1,1,1,3,19,Girls,Christian,Selective
110177,Reading,870,6009,8706009,Caversham Preparatory School,16 Peppard Road,Caversham,,Reading,RG4 8JZ,Open,,,Independent school,Other independent school,1,0,0,3,11,Mixed,None,Non-selective
110193,Reading,870,7036,8707036,The Holy Brook School,145 Ashampstead Road,Southcote,,Reading,RG30 3LJ,Open,,,Special school,Community special school,1,0,0,5,11,Mixed,Does not apply,Not applicable
130247,Reading,870,6905,8706905,John Madejski Academy,125 Hartland Road,,,Reading,RG2 8AF,Closed,,31-12-2024,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Does not apply,Non-selective
134467,Reading,870,6037,8706037,OneSchool Global Reading Senior Campus,14 Arkwright Road,Reading,,,RG2 0LU,Open,,,Independent school,Other independent school,1,1,1,7,18,Mixed,Plymouth Brethren Christian Church,Non-selective
135995,Reading,870,6016,8706016,The Deenway Montessori School,3-5 Sidmouth Street,Reading,,,RG1 4QZ,Open,,,Independent school,Other independent school,1,1,0,3,16,Mixed,None,Not applicable
136307,Reading,870,4020,8704020,Highdown School and Sixth Form Centre,Surley Row,Emmer Green,,Reading,RG4 8LR,Open,,,Academy,Academy converter,0,1,1,11,18,Mixed,None,Non-selective
136448,Reading,870,5413,8705413,Kendrick School,London Road,,,Reading,RG1 5BN,Open,,,Academy,Academy converter,0,1,1,11,18,Girls,None,Selective
136449,Reading,870,5401,8705401,Reading School,Erleigh Road,,,Reading,RG1 5LW,Open,,,Academy,Academy converter,0,1,1,11,18,Boys,None,Selective
136457,Reading,870,2031,8702031,Churchend Primary Academy,Usk Road,Tilehurst,,Reading,RG30 4HP,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
136512,Reading,870,3361,8703361,Whitley Park Primary and Nursery School,Brixham Road,,,Reading,RG2 7RB,Open,,,Maintained school,Community school,1,0,0,2,11,Mixed,Does not apply,Not applicable
136876,Reading,870,5410,8705410,King's Academy Prospect,Cockney Hill,Tilehurst,,Reading,RG30 4EX,Open,,,Academy,Academy converter,0,1,1,11,18,Mixed,None,Non-selective
137281,Reading,870,2002,8702002,All Saints Junior School,"August House, Brownlow Road",,,Reading,RG1 6NP,Open,,,Academy,Free schools,1,0,0,7,11,Mixed,None,Not applicable
137435,Reading,870,7001,8707001,The Avenue Special School,"The Avenue Centre, Conwy Close",Tilehurst,,Reading,RG30 4BZ,Open,,,Special school,Academy special converter,1,1,1,2,19,Mixed,Does not apply,Not applicable
