unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"2859C1AB-83F8-52B4-E063-4804A8C05948","695000","2024-10-24","RG7 1QD","D","N","F","","FIVEWAYS","BASINGSTOKE ROAD","RISELEY","READING","WOKINGHAM","WOKINGHAM","A","http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-83F8-52B4-E063-4804A8C05948/current"
"25E9DA80-68D8-555E-E063-4704A8C066F2","355000","2024-05-24","RG7 1QH","T","N","F","2","PRIMROSE COTTAGES","BASINGSTOKE ROAD","RISELEY","READING","WOKINGHAM","WOKINGHAM","A","http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA80-68D8-555E-E063-4704A8C066F2/current"
"1775CCF6-E40B-38BA-E063-4704A8C05A7C","750050","2024-01-25","RG7 1QX","D","N","F","","BRIARWOOD","SWALLOWFIELD STREET","SWALLOWFIELD","READING","WOKINGHAM","WOKINGHAM","A","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF6-E40B-38BA-E063-4704A8C05A7C/current"
"2ACACE8C-92D8-295E-E063-4804A8C0B0EB","750000","2024-08-28","RG7 1QX","S","N","F","","OLD COTTAGE","SWALLOWFIELD STREET","SWALLOWFIELD","READING","WOKINGHAM","WOKINGHAM","A","http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-92D8-295E-E063-4804A8C0B0EB/current"
"12A8BAB5-E396-2125-E063-4804A8C08CC1","765000","2024-01-30","RG7 1QX","D","N","F","","THE ORCHARD","SWALLOWFIELD STREET","SWALLOWFIELD","READING","WOKINGHAM","WOKINGHAM","A","http://landregistry.data.gov.uk/data/ppi/transaction/12A8BAB5-E396-2125-E063-4804A8C08CC1/current"
"2131FCF5-B599-86E8-E063-4804A8C0372B","541000","2024-08-06","RG7 1RA","D","N","F","","30","KINGFISHER GROVE","THREE MILE CROSS","READING","WOKINGHAM","WOKINGHAM","A","http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF5-B599-86E8-E063-4804A8C0372B/current"
"2ACACE8C-92F2-295E-E063-4804A8C0B0EB","360000","2024-12-13","RG7 1RA","T","N","F","","39","KINGFISHER GROVE","THREE MILE CROSS","READING","WOKINGHAM","WOKINGHAM","A","http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-92F2-295E-E063-4804A8C0B0EB/current"
"25E9DA80-694C-555E-E063-4704A8C066F2","305000","2024-09-19","RG7 1RG","S","N","F","4","VILLA PLACE","THE STREET","SWALLOWFIELD","READING","WOKINGHAM","WOKINGHAM","A","http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA80-694C-555E-E063-4704A8C066F2/current"
"2859C1AB-85C9-52B4-E063-4804A8C05948","385000","2024-05-31","RG7 1RG","T","N","F","6","VILLA PLACE","THE STREET","SWALLOWFIELD","READING","WOKINGHAM","WOKINGHAM","A","http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-85C9-52B4-E063-4804A8C05948/current"
"2859C1AC-D97E-52B4-E063-4804A8C05948","860000","2024-01-22","RG7 1RU","O","N","F","","BROADWATER BARN","PART LANE","RISELEY","READING","WOKINGHAM","WOKINGHAM","B","http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-D97E-52B4-E063-4804A8C05948/current"
