stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
039026450001,,"Kentwood Close",,51.462477657,-1.033980245,,,0,,,0
039028450001,,"The Meridian",,51.45629413,-0.958663251,,,0,,,0
039028460001,,"Forbury Retail Park",,51.457158851,-0.96086013,,,0,,,0
039028160002,,"Forbury Road",,51.457896749,-0.970098345,,,0,,,0
039025010003,,"Alexandra Road",,51.448019422,-0.951354099,,,0,,,0
039026080002,,"Foxhill Road",,51.448551553,-0.948521374,,,0,,,0
039028200002,,"Eastern Avenue Foot",,51.44677091,-0.944489913,,,0,,,0
039026700001,,Mockbeggar,,51.44547117,-0.939958391,,,0,,,0
039025310001,,"Bridges Hall",,51.443599813,-0.935872081,,,0,,,0
035084100001,,"Earley Gate",,51.440892639,-0.931848763,,,0,,,0
035084120001,,"Ramsbury Drive",,51.438156324,-0.932531229,,,0,,,0
035084140001,,"Kennedy Gardens",,51.436756468,-0.929887907,,,0,,,0
035084160001,,"Silverdale Road Shops",,51.436489329,-0.92623992,,,0,,,0
035084180001,,Lakeside,,51.435061445,-0.922518572,,,0,,,0
035084200001,,"Kenton Road",,51.435469619,-0.918020409,,,0,,,0
035084220001,,"Hillside Road",,51.434642932,-0.913220572,,,0,,,0
035084240001,,"Gipsy Lane",,51.433415325,-0.910775343,,,0,,,0
035084250001,,"Gipsy Lane - Mill Lane",,51.433967151,-0.907266435,,,0,,,0
035084420002,,"Mill Lane - Gipsy Lane",,51.434430471,-0.906809413,,,0,,,0
035084400002,,"Skelmerdale Way Footpath",,51.437690857,-0.907379018,,,0,,,0
035086080002,,"Coppice Road",,51.440202181,-0.899002889,,,0,,,0
035086060002,,"Coppice Road Parade",,51.440556432,-0.902260456,,,0,,,0
035085800002,,"Hearn Road",,51.443781035,-0.903809119,,,0,,,0
035085240004,,"Drovers Way Top",,51.447147808,-0.903253643,,,0,,,0
035086160001,,"Colemans Moor Lane Top",,51.448396364,-0.898316576,,,0,,,0
035086200001,,"Chapel Hall",,51.449982706,-0.897760327,,,0,,,0
035086220001,,"Austin Road",,51.449896427,-0.893373157,,,0,,,0
035085340003,,"Oak Drive",,51.447584453,-0.889457328,,,0,,,0
035085380003,,"Herald Way",,51.451124053,-0.88532749,,,0,,,0
035086300001,,"Viscount Way",,51.45172673,-0.889140971,,,0,,,0
035093500001,,"Victor Way",,51.452695285,-0.88697308,,,0,,,0
035093520001,,"Comet Way - Rose Close",,51.453585259,-0.883166306,,,0,,,0
035086520002,,"Headley Park",,51.453863561,-0.892600819,,,0,,,0
035086540002,,Adwest,,51.453297683,-0.894571827,,,0,,,0
035085940002,,"Palmerstone Road",,51.449102753,-0.926980257,,,0,,,0
035085960002,,"Anderson Avenue",,51.446643055,-0.927426428,,,0,,,0
035085980002,,"St Peters Church",,51.443864001,-0.929333318,,,0,,,0
035084000001,,"Earley Crossroads",,51.440976116,-0.931141798,,,0,,,0
035084100002,,"Earley Gate",,51.440831544,-0.932051621,,,0,,,0
039025310002,,"Bridges Hall",,51.443702227,-0.936258204,,,0,,,0
039026700002,,Mockbeggar,,51.44572313,-0.94097422,,,0,,,0
039028200001,,"Eastern Avenue Foot",,51.446827311,-0.944762022,,,0,,,0
039026080001,,"Foxhill Road",,51.448522003,-0.948234243,,,0,,,0
039025010001,,"Alexandra Road",,51.447792369,-0.952107592,,,0,,,0
035093120002,,"Culver Lane (Hail & Ride)",,51.452042979,-0.92991919,,,0,,,0
035093100002,,"Eastcourt Avenue",,51.449543242,-0.929920053,,,0,,,0
035081060001,,"Wilderness Court",,51.436333387,-0.934774873,,,0,,,0
035081080001,,"Hilbury Road",,51.434897884,-0.932161191,,,0,,,0
035081100001,,"Dene Close",,51.433324715,-0.929248787,,,0,,,0
035081120001,,"Chelwood Road",,51.43089321,-0.925896379,,,0,,,0
035081140001,,"Thanington Way",,51.429155532,-0.924671287,,,0,,,0
035081160001,,"Fleetham Gardens",,51.428557048,-0.920211835,,,0,,,0
035081180001,,"Cutbush Lane",,51.426105888,-0.917680572,,,0,,,0
035081200001,,"Doddington Close",,51.425016017,-0.915534461,,,0,,,0
035081240001,,"Littington Close",,51.423079049,-0.915134441,,,0,,,0
035093020001,,"Chatteris Way - Gregory Close",,51.422825078,-0.917815588,,,0,,,0
035093040001,,"Chatteris Way - Firmstone Close",,51.4240306,-0.920807512,,,0,,,0
035093060001,,"Cutbush Lane",,51.423671768,-0.924814354,,,0,,,0
035081300001,,"Cutbush Close",,51.422762752,-0.927669018,,,0,,,0
035081320001,,"Bradmore Way",,51.421905112,-0.930249107,,,0,,,0
035060080002,,"Beeston Way",,51.421494499,-0.934530149,,,0,,,0
035083500002,,"Chalfont Way Asda",,51.424134038,-0.934080442,,,0,,,0
035083500001,,"Chalfont Way Asda",,51.424422634,-0.93417441,,,0,,,0
035060080001,,"Beeston Way",,51.421353113,-0.933814338,,,0,,,0
035081320002,,"Bradmore Way",,51.421995537,-0.930304525,,,0,,,0
035081300002,,"Cutbush Close",,51.423140769,-0.926725307,,,0,,,0
035093060002,,"Cutbush Lane",,51.423831478,-0.924580483,,,0,,,0
035093040002,,"Chatteris Way - Firmstone Close",,51.424181709,-0.920616976,,,0,,,0
035093020002,,"Chatteris Way - Gregory Close",,51.422820564,-0.917326691,,,0,,,0
035081240002,,"Littington Close",,51.423293478,-0.914985538,,,0,,,0
035081200002,,"Doddington Close",,51.425090862,-0.915849119,,,0,,,0
035081180002,,"Cutbush Lane",,51.426879589,-0.918697924,,,0,,,0
035081160002,,"Fleetham Gardens",,51.428413209,-0.920215225,,,0,,,0
035081140002,,"Thanington Way",,51.428831497,-0.924635739,,,0,,,0
035081120002,,"Chelwood Road",,51.431303292,-0.926490939,,,0,,,0
035081100002,,"Dene Close",,51.433882426,-0.930257151,,,0,,,0
035081080002,,"Hilbury Road",,51.434991975,-0.932619357,,,0,,,0
